0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:36:32 +0900] "GET /tr_spring/mainNotice.tr HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:36:35 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 11145
0:0:0:0:0:0:0:1 - - [06/Aug/2023:16:36:35 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 8
192.168.0.36 - - [06/Aug/2023:16:36:37 +0900] "GET /tr_spring/flaskReturn.jsp HTTP/1.1" 200 212
192.168.0.36 - - [06/Aug/2023:16:36:37 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 261
192.168.0.36 - - [06/Aug/2023:16:36:38 +0900] "GET /tr_spring/loginForm.tr HTTP/1.1" 200 2999
192.168.0.36 - - [06/Aug/2023:16:36:39 +0900] "GET /tr_spring/flaskReturn.jsp HTTP/1.1" 200 212
192.168.0.36 - - [06/Aug/2023:16:36:39 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 261
192.168.0.36 - - [06/Aug/2023:16:36:40 +0900] "GET /tr_spring/loginForm.tr HTTP/1.1" 200 2999
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "POST /tr_spring/loginCheck.tr HTTP/1.1" 200 212
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/mainPage.tr HTTP/1.1" 200 17466
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/css/sidebars.css HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/css/main.css HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/js/util.js HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/logo-green2.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/notification-bell.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/fileupload/tmem/PSH_1_.jpg HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/boardMain.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/people.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/app.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/work.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/calender.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/member.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 8
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/trMoneyMongoDB.tr HTTP/1.1" 200 82
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/mainNotice.tr HTTP/1.1" 200 1759
192.168.0.36 - - [06/Aug/2023:16:36:46 +0900] "GET /tr_spring/resources/images/noticebg.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:49 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 11145
192.168.0.36 - - [06/Aug/2023:16:36:49 +0900] "GET /tr_spring/resources/images/file.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:49 +0900] "GET /tr_spring/resources/images/noticeboard.png HTTP/1.1" 304 -
192.168.0.36 - - [06/Aug/2023:16:36:49 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 8
192.168.0.36 - - [06/Aug/2023:16:37:26 +0900] "GET /tr_spring/flaskReturn.jsp HTTP/1.1" 200 212
192.168.0.36 - - [06/Aug/2023:16:37:26 +0900] "GET /tr_spring/tBoardSelectAll.tr HTTP/1.1" 200 11145
192.168.0.36 - - [06/Aug/2023:16:37:26 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 8
192.168.0.36 - - [06/Aug/2023:16:37:27 +0900] "GET /tr_spring/mainPage.tr HTTP/1.1" 200 17466
192.168.0.36 - - [06/Aug/2023:16:37:27 +0900] "GET /tr_spring/appAlert.tr HTTP/1.1" 200 8
192.168.0.36 - - [06/Aug/2023:16:37:27 +0900] "GET /tr_spring/trMoneyMongoDB.tr HTTP/1.1" 200 82
192.168.0.36 - - [06/Aug/2023:16:37:27 +0900] "GET /tr_spring/mainNotice.tr HTTP/1.1" 200 1759
192.168.0.36 - - [06/Aug/2023:16:37:37 +0900] "GET /tr_spring/trMoneyMongoDB.tr HTTP/1.1" 200 82
